Timestep: 0-0, Program time: 5.41e-07 s, Sim. time: 0 TU, Active/Total Cells: 2141/2198
Timestep: 0-108, Program time: 0.143462 s, Sim. time: 0.215674 TU, Active/Total Cells: 797/1758
Timestep: 0-110, Program time: 0.145533 s, Sim. time: 0.221944 TU, Active/Total Cells: 802/1923
Timestep: 0-112, Program time: 0.147574 s, Sim. time: 0.228213 TU, Active/Total Cells: 794/2049
Timestep: 0-114, Program time: 0.149763 s, Sim. time: 0.234483 TU, Active/Total Cells: 794/2201
Timestep: 0-116, Program time: 0.151996 s, Sim. time: 0.240752 TU, Active/Total Cells: 782/2304
Timestep: 0-118, Program time: 0.154526 s, Sim. time: 0.247022 TU, Active/Total Cells: 794/2451
Timestep: 0-120, Program time: 0.157081 s, Sim. time: 0.253292 TU, Active/Total Cells: 784/2578
Timestep: 0-122, Program time: 0.159733 s, Sim. time: 0.259561 TU, Active/Total Cells: 773/2698
Timestep: 0-124, Program time: 0.162507 s, Sim. time: 0.265831 TU, Active/Total Cells: 782/2821
Timestep: 0-126, Program time: 0.166163 s, Sim. time: 0.272782 TU, Active/Total Cells: 756/1128
Timestep: 0-128, Program time: 0.167447 s, Sim. time: 0.280416 TU, Active/Total Cells: 752/1279
Timestep: 0-130, Program time: 0.169003 s, Sim. time: 0.288049 TU, Active/Total Cells: 740/1455
Timestep: 0-132, Program time: 0.170564 s, Sim. time: 0.295683 TU, Active/Total Cells: 750/1579
Timestep: 0-134, Program time: 0.172147 s, Sim. time: 0.303317 TU, Active/Total Cells: 742/1684
Timestep: 0-136, Program time: 0.174236 s, Sim. time: 0.31095 TU, Active/Total Cells: 744/1822
Timestep: 0-138, Program time: 0.17627 s, Sim. time: 0.318584 TU, Active/Total Cells: 744/1954
Timestep: 0-140, Program time: 0.178397 s, Sim. time: 0.326217 TU, Active/Total Cells: 735/2063
Timestep: 0-142, Program time: 0.180736 s, Sim. time: 0.333851 TU, Active/Total Cells: 743/2206
Timestep: 0-144, Program time: 0.183046 s, Sim. time: 0.341485 TU, Active/Total Cells: 740/2293
Timestep: 0-146, Program time: 0.18559 s, Sim. time: 0.349118 TU, Active/Total Cells: 743/2435
Timestep: 0-148, Program time: 0.188639 s, Sim. time: 0.356752 TU, Active/Total Cells: 744/2574
Timestep: 0-150, Program time: 0.191174 s, Sim. time: 0.364385 TU, Active/Total Cells: 747/2659
Timestep: 0-152, Program time: 0.194018 s, Sim. time: 0.375196 TU, Active/Total Cells: 731/1241
Timestep: 0-154, Program time: 0.195607 s, Sim. time: 0.386007 TU, Active/Total Cells: 736/1424
Timestep: 0-156, Program time: 0.197302 s, Sim. time: 0.396818 TU, Active/Total Cells: 747/1589
Timestep: 0-157, Program time: 0.1981 s, Sim. time: 0.4 TU, Active/Total Cells: 747/1654
Timestep: 0-158, Program time: 0.200625 s, Sim. time: 0.405405 TU, Active/Total Cells: 751/1704
Timestep: 0-160, Program time: 0.202415 s, Sim. time: 0.416216 TU, Active/Total Cells: 770/1862
Timestep: 0-162, Program time: 0.204757 s, Sim. time: 0.427027 TU, Active/Total Cells: 778/1988
Timestep: 0-164, Program time: 0.20691 s, Sim. time: 0.437838 TU, Active/Total Cells: 788/2141
Timestep: 0-166, Program time: 0.209258 s, Sim. time: 0.448649 TU, Active/Total Cells: 799/2294
Timestep: 0-168, Program time: 0.211685 s, Sim. time: 0.459459 TU, Active/Total Cells: 802/2451
Timestep: 0-170, Program time: 0.214521 s, Sim. time: 0.47027 TU, Active/Total Cells: 840/2584
Timestep: 0-172, Program time: 0.217489 s, Sim. time: 0.481081 TU, Active/Total Cells: 862/2750
Timestep: 0-174, Program time: 0.220552 s, Sim. time: 0.491892 TU, Active/Total Cells: 876/2895
Timestep: 0-176, Program time: 0.22486 s, Sim. time: 0.50429 TU, Active/Total Cells: 898/1553
Timestep: 0-178, Program time: 0.226892 s, Sim. time: 0.517394 TU, Active/Total Cells: 935/1784
Timestep: 0-180, Program time: 0.229035 s, Sim. time: 0.529023 TU, Active/Total Cells: 984/1982
Timestep: 0-182, Program time: 0.231417 s, Sim. time: 0.540012 TU, Active/Total Cells: 1019/2173
Timestep: 0-184, Program time: 0.233834 s, Sim. time: 0.550707 TU, Active/Total Cells: 1064/2332
Timestep: 0-186, Program time: 0.236651 s, Sim. time: 0.560909 TU, Active/Total Cells: 1135/2542
Timestep: 0-188, Program time: 0.239725 s, Sim. time: 0.570618 TU, Active/Total Cells: 1173/2722
Timestep: 0-190, Program time: 0.242811 s, Sim. time: 0.579997 TU, Active/Total Cells: 1221/2904
Timestep: 0-192, Program time: 0.246012 s, Sim. time: 0.588639 TU, Active/Total Cells: 1276/3068
Timestep: 0-194, Program time: 0.249501 s, Sim. time: 0.59674 TU, Active/Total Cells: 1330/3252
Timestep: 0-195, Program time: 0.251342 s, Sim. time: 0.6 TU, Active/Total Cells: 1344/3352
Timestep: 0-196, Program time: 0.256325 s, Sim. time: 0.603846 TU, Active/Total Cells: 1382/3413
Timestep: 0-198, Program time: 0.260079 s, Sim. time: 0.611538 TU, Active/Total Cells: 1432/3572
Timestep: 0-200, Program time: 0.264447 s, Sim. time: 0.618786 TU, Active/Total Cells: 1479/3744
Timestep: 0-202, Program time: 0.270752 s, Sim. time: 0.625408 TU, Active/Total Cells: 1526/2602
Timestep: 0-204, Program time: 0.273953 s, Sim. time: 0.632031 TU, Active/Total Cells: 1573/2784
Timestep: 0-206, Program time: 0.277377 s, Sim. time: 0.638654 TU, Active/Total Cells: 1623/2962
Timestep: 0-208, Program time: 0.281002 s, Sim. time: 0.644766 TU, Active/Total Cells: 1646/3125
Timestep: 0-210, Program time: 0.284709 s, Sim. time: 0.65058 TU, Active/Total Cells: 1717/3264
Timestep: 0-212, Program time: 0.288769 s, Sim. time: 0.656394 TU, Active/Total Cells: 1778/3448
Timestep: 0-214, Program time: 0.292857 s, Sim. time: 0.662207 TU, Active/Total Cells: 1821/3616
Timestep: 0-216, Program time: 0.297061 s, Sim. time: 0.667988 TU, Active/Total Cells: 1884/3766
Timestep: 0-218, Program time: 0.301193 s, Sim. time: 0.673177 TU, Active/Total Cells: 1932/3938
Timestep: 0-220, Program time: 0.305503 s, Sim. time: 0.678247 TU, Active/Total Cells: 1971/4102
Timestep: 0-222, Program time: 0.310103 s, Sim. time: 0.68326 TU, Active/Total Cells: 2015/4224
Timestep: 0-224, Program time: 0.314917 s, Sim. time: 0.688162 TU, Active/Total Cells: 2085/4362
Timestep: 0-226, Program time: 0.325384 s, Sim. time: 0.693157 TU, Active/Total Cells: 2125/3495
Timestep: 0-228, Program time: 0.329665 s, Sim. time: 0.697798 TU, Active/Total Cells: 2171/3676
Timestep: 0-230, Program time: 0.333945 s, Sim. time: 0.702385 TU, Active/Total Cells: 2200/3840
Timestep: 0-232, Program time: 0.338232 s, Sim. time: 0.706972 TU, Active/Total Cells: 2279/4019
Timestep: 0-234, Program time: 0.342675 s, Sim. time: 0.71156 TU, Active/Total Cells: 2334/4185
Timestep: 0-236, Program time: 0.347265 s, Sim. time: 0.716147 TU, Active/Total Cells: 2382/4339
Timestep: 0-238, Program time: 0.351771 s, Sim. time: 0.720734 TU, Active/Total Cells: 2424/4464
Timestep: 0-240, Program time: 0.357125 s, Sim. time: 0.725305 TU, Active/Total Cells: 2504/4647
Timestep: 0-242, Program time: 0.362268 s, Sim. time: 0.729679 TU, Active/Total Cells: 2552/4829
Timestep: 0-244, Program time: 0.36752 s, Sim. time: 0.733837 TU, Active/Total Cells: 2613/4969
Timestep: 0-246, Program time: 0.373294 s, Sim. time: 0.737953 TU, Active/Total Cells: 2652/5132
Timestep: 0-248, Program time: 0.379554 s, Sim. time: 0.741985 TU, Active/Total Cells: 2710/5315
Timestep: 0-250, Program time: 0.385606 s, Sim. time: 0.746017 TU, Active/Total Cells: 2762/5480
Timestep: 0-252, Program time: 0.400214 s, Sim. time: 0.75021 TU, Active/Total Cells: 2821/4589
Timestep: 0-254, Program time: 0.405789 s, Sim. time: 0.754325 TU, Active/Total Cells: 2858/4809
Timestep: 0-256, Program time: 0.411144 s, Sim. time: 0.758255 TU, Active/Total Cells: 2915/4997
Timestep: 0-258, Program time: 0.416827 s, Sim. time: 0.762184 TU, Active/Total Cells: 2955/5157
Timestep: 0-260, Program time: 0.422488 s, Sim. time: 0.766113 TU, Active/Total Cells: 3039/5354
Timestep: 0-262, Program time: 0.428205 s, Sim. time: 0.770042 TU, Active/Total Cells: 3104/5526
Timestep: 0-264, Program time: 0.434817 s, Sim. time: 0.773968 TU, Active/Total Cells: 3165/5703
Timestep: 0-266, Program time: 0.441111 s, Sim. time: 0.777768 TU, Active/Total Cells: 3206/5886
Timestep: 0-268, Program time: 0.447693 s, Sim. time: 0.781486 TU, Active/Total Cells: 3269/6071
Timestep: 0-270, Program time: 0.454073 s, Sim. time: 0.785203 TU, Active/Total Cells: 3341/6246
Timestep: 0-272, Program time: 0.461168 s, Sim. time: 0.788737 TU, Active/Total Cells: 3382/6407
Timestep: 0-274, Program time: 0.468092 s, Sim. time: 0.79227 TU, Active/Total Cells: 3449/6575
Timestep: 0-276, Program time: 0.487051 s, Sim. time: 0.795896 TU, Active/Total Cells: 3511/5606
Timestep: 0-278, Program time: 0.494258 s, Sim. time: 0.799408 TU, Active/Total Cells: 3565/5868
Timestep: 0-279, Program time: 0.49752 s, Sim. time: 0.8 TU, Active/Total Cells: 3574/5954
Timestep: 0-280, Program time: 0.513644 s, Sim. time: 0.801756 TU, Active/Total Cells: 3602/5990
Timestep: 0-282, Program time: 0.520003 s, Sim. time: 0.805268 TU, Active/Total Cells: 3660/6153
Timestep: 0-284, Program time: 0.526912 s, Sim. time: 0.80878 TU, Active/Total Cells: 3707/6345
Timestep: 0-286, Program time: 0.534116 s, Sim. time: 0.812291 TU, Active/Total Cells: 3776/6556
Timestep: 0-288, Program time: 0.541775 s, Sim. time: 0.815803 TU, Active/Total Cells: 3851/6759
Timestep: 0-290, Program time: 0.549511 s, Sim. time: 0.819096 TU, Active/Total Cells: 3910/6953
Timestep: 0-292, Program time: 0.55733 s, Sim. time: 0.822388 TU, Active/Total Cells: 3966/7139
Timestep: 0-294, Program time: 0.565014 s, Sim. time: 0.82568 TU, Active/Total Cells: 4014/7304
Timestep: 0-296, Program time: 0.572905 s, Sim. time: 0.828972 TU, Active/Total Cells: 4083/7490
Timestep: 0-298, Program time: 0.581515 s, Sim. time: 0.832229 TU, Active/Total Cells: 4123/7702
Timestep: 0-300, Program time: 0.590174 s, Sim. time: 0.835487 TU, Active/Total Cells: 4188/7860
Timestep: 0-302, Program time: 0.614082 s, Sim. time: 0.838687 TU, Active/Total Cells: 4224/6850
Timestep: 0-304, Program time: 0.621723 s, Sim. time: 0.841887 TU, Active/Total Cells: 4293/7069
Timestep: 0-306, Program time: 0.629824 s, Sim. time: 0.845087 TU, Active/Total Cells: 4344/7257
Timestep: 0-308, Program time: 0.638552 s, Sim. time: 0.848231 TU, Active/Total Cells: 4407/7502
Timestep: 0-310, Program time: 0.646952 s, Sim. time: 0.851376 TU, Active/Total Cells: 4464/7687
Timestep: 0-312, Program time: 0.655521 s, Sim. time: 0.854496 TU, Active/Total Cells: 4538/7898
Timestep: 0-314, Program time: 0.66446 s, Sim. time: 0.857592 TU, Active/Total Cells: 4586/8100
Timestep: 0-316, Program time: 0.673725 s, Sim. time: 0.860674 TU, Active/Total Cells: 4640/8283
Timestep: 0-318, Program time: 0.683471 s, Sim. time: 0.863742 TU, Active/Total Cells: 4663/8453
Timestep: 0-320, Program time: 0.693041 s, Sim. time: 0.866809 TU, Active/Total Cells: 4726/8685
Timestep: 0-322, Program time: 0.702698 s, Sim. time: 0.869877 TU, Active/Total Cells: 4798/8874
Timestep: 0-324, Program time: 0.713077 s, Sim. time: 0.872907 TU, Active/Total Cells: 4861/9066
Timestep: 0-326, Program time: 0.743496 s, Sim. time: 0.875968 TU, Active/Total Cells: 4927/7872
Timestep: 0-328, Program time: 0.752945 s, Sim. time: 0.879059 TU, Active/Total Cells: 4967/8113
Timestep: 0-330, Program time: 0.761961 s, Sim. time: 0.88215 TU, Active/Total Cells: 5018/8332
Timestep: 0-332, Program time: 0.771541 s, Sim. time: 0.885105 TU, Active/Total Cells: 5078/8606
Timestep: 0-334, Program time: 0.781024 s, Sim. time: 0.888036 TU, Active/Total Cells: 5150/8797
Timestep: 0-336, Program time: 0.792173 s, Sim. time: 0.890966 TU, Active/Total Cells: 5197/9003
Timestep: 0-338, Program time: 0.802376 s, Sim. time: 0.893897 TU, Active/Total Cells: 5257/9177
Timestep: 0-340, Program time: 0.812956 s, Sim. time: 0.896827 TU, Active/Total Cells: 5316/9397
Timestep: 0-342, Program time: 0.823573 s, Sim. time: 0.899757 TU, Active/Total Cells: 5350/9609
Timestep: 0-344, Program time: 0.834534 s, Sim. time: 0.902688 TU, Active/Total Cells: 5413/9793
Timestep: 0-346, Program time: 0.845873 s, Sim. time: 0.905618 TU, Active/Total Cells: 5486/10008
Timestep: 0-348, Program time: 0.857716 s, Sim. time: 0.908522 TU, Active/Total Cells: 5550/10258
Timestep: 0-350, Program time: 0.868947 s, Sim. time: 0.91137 TU, Active/Total Cells: 5608/10467
Timestep: 0-352, Program time: 0.901844 s, Sim. time: 0.914305 TU, Active/Total Cells: 5660/9119
Timestep: 0-354, Program time: 0.912244 s, Sim. time: 0.917227 TU, Active/Total Cells: 5694/9348
Timestep: 0-356, Program time: 0.923115 s, Sim. time: 0.920079 TU, Active/Total Cells: 5723/9587
Timestep: 0-358, Program time: 0.933616 s, Sim. time: 0.922861 TU, Active/Total Cells: 5769/9797
Timestep: 0-360, Program time: 0.944563 s, Sim. time: 0.925612 TU, Active/Total Cells: 5841/10032
Timestep: 0-362, Program time: 0.956494 s, Sim. time: 0.928333 TU, Active/Total Cells: 5912/10280
Timestep: 0-364, Program time: 0.967505 s, Sim. time: 0.931054 TU, Active/Total Cells: 5966/10484
Timestep: 0-366, Program time: 0.978812 s, Sim. time: 0.933775 TU, Active/Total Cells: 6000/10677
Timestep: 0-368, Program time: 0.99195 s, Sim. time: 0.936496 TU, Active/Total Cells: 6057/10890
Timestep: 0-370, Program time: 1.00465 s, Sim. time: 0.939217 TU, Active/Total Cells: 6085/11115
Timestep: 0-372, Program time: 1.01842 s, Sim. time: 0.941939 TU, Active/Total Cells: 6136/11356
Timestep: 0-374, Program time: 1.03113 s, Sim. time: 0.94466 TU, Active/Total Cells: 6204/11578
Timestep: 0-376, Program time: 1.06768 s, Sim. time: 0.947368 TU, Active/Total Cells: 6261/10018
Timestep: 0-378, Program time: 1.07876 s, Sim. time: 0.950063 TU, Active/Total Cells: 6314/10307
Timestep: 0-380, Program time: 1.09087 s, Sim. time: 0.952759 TU, Active/Total Cells: 6397/10575
Timestep: 0-382, Program time: 1.10196 s, Sim. time: 0.955454 TU, Active/Total Cells: 6414/10798
Timestep: 0-384, Program time: 1.11456 s, Sim. time: 0.958093 TU, Active/Total Cells: 6465/11028
Timestep: 0-386, Program time: 1.12692 s, Sim. time: 0.960675 TU, Active/Total Cells: 6509/11256
Timestep: 0-388, Program time: 1.13999 s, Sim. time: 0.963258 TU, Active/Total Cells: 6579/11481
Timestep: 0-390, Program time: 1.1522 s, Sim. time: 0.96584 TU, Active/Total Cells: 6628/11698
Timestep: 0-392, Program time: 1.16624 s, Sim. time: 0.968422 TU, Active/Total Cells: 6681/11940
Timestep: 0-394, Program time: 1.17985 s, Sim. time: 0.971005 TU, Active/Total Cells: 6755/12150
Timestep: 0-396, Program time: 1.19294 s, Sim. time: 0.973587 TU, Active/Total Cells: 6808/12399
Timestep: 0-398, Program time: 1.20608 s, Sim. time: 0.976169 TU, Active/Total Cells: 6856/12598
Timestep: 0-400, Program time: 1.21933 s, Sim. time: 0.978751 TU, Active/Total Cells: 6882/12805
Timestep: 0-402, Program time: 1.2594 s, Sim. time: 0.981384 TU, Active/Total Cells: 6963/11183
Timestep: 0-404, Program time: 1.27138 s, Sim. time: 0.983879 TU, Active/Total Cells: 6977/11425
Timestep: 0-406, Program time: 1.28384 s, Sim. time: 0.986375 TU, Active/Total Cells: 7030/11674
Timestep: 0-408, Program time: 1.29807 s, Sim. time: 0.98887 TU, Active/Total Cells: 7045/11926
Timestep: 0-410, Program time: 1.31252 s, Sim. time: 0.991356 TU, Active/Total Cells: 7069/12146
Timestep: 0-412, Program time: 1.32747 s, Sim. time: 0.993842 TU, Active/Total Cells: 7123/12378
Timestep: 0-414, Program time: 1.3421 s, Sim. time: 0.996319 TU, Active/Total Cells: 7188/12639
Timestep: 0-416, Program time: 1.35715 s, Sim. time: 0.998786 TU, Active/Total Cells: 7244/12909
Timestep: 0-417, Program time: 1.36432 s, Sim. time: 1 TU, Active/Total Cells: 7260/13003
