Timestep: 0-0, Program time: 0 s, Sim. time: 0 TU, Active/Total Cells: 1356/2198
Timestep: 0-112, Program time: 0.1377 s, Sim. time: 0.056 TU, Active/Total Cells: 948/1854
Timestep: 0-114, Program time: 0.139508 s, Sim. time: 0.057 TU, Active/Total Cells: 935/1827
Timestep: 0-116, Program time: 0.142183 s, Sim. time: 0.058 TU, Active/Total Cells: 939/1848
Timestep: 0-118, Program time: 0.144201 s, Sim. time: 0.059 TU, Active/Total Cells: 940/1845
Timestep: 0-120, Program time: 0.146255 s, Sim. time: 0.06 TU, Active/Total Cells: 936/1841
Timestep: 0-122, Program time: 0.148639 s, Sim. time: 0.061 TU, Active/Total Cells: 929/1844
Timestep: 0-124, Program time: 0.15076 s, Sim. time: 0.062 TU, Active/Total Cells: 928/1848
Timestep: 0-126, Program time: 0.152524 s, Sim. time: 0.063 TU, Active/Total Cells: 911/1840
Timestep: 0-128, Program time: 0.15453 s, Sim. time: 0.064 TU, Active/Total Cells: 906/1824
Timestep: 0-130, Program time: 0.156645 s, Sim. time: 0.065 TU, Active/Total Cells: 908/1819
Timestep: 0-132, Program time: 0.158744 s, Sim. time: 0.066 TU, Active/Total Cells: 916/1835
Timestep: 0-134, Program time: 0.160926 s, Sim. time: 0.067 TU, Active/Total Cells: 909/1833
Timestep: 0-136, Program time: 0.162948 s, Sim. time: 0.068 TU, Active/Total Cells: 904/1820
Timestep: 0-138, Program time: 0.165162 s, Sim. time: 0.069 TU, Active/Total Cells: 901/1830
Timestep: 0-140, Program time: 0.167258 s, Sim. time: 0.07 TU, Active/Total Cells: 903/1813
Timestep: 0-142, Program time: 0.169502 s, Sim. time: 0.071 TU, Active/Total Cells: 905/1827
Timestep: 0-144, Program time: 0.171725 s, Sim. time: 0.072 TU, Active/Total Cells: 900/1826
Timestep: 0-146, Program time: 0.174203 s, Sim. time: 0.073 TU, Active/Total Cells: 901/1840
Timestep: 0-148, Program time: 0.176026 s, Sim. time: 0.074 TU, Active/Total Cells: 901/1843
Timestep: 0-150, Program time: 0.17824 s, Sim. time: 0.075 TU, Active/Total Cells: 895/1844
Timestep: 0-152, Program time: 0.180413 s, Sim. time: 0.076 TU, Active/Total Cells: 900/1833
Timestep: 0-154, Program time: 0.182572 s, Sim. time: 0.077 TU, Active/Total Cells: 907/1846
Timestep: 0-156, Program time: 0.184882 s, Sim. time: 0.078 TU, Active/Total Cells: 904/1853
Timestep: 0-158, Program time: 0.186919 s, Sim. time: 0.079 TU, Active/Total Cells: 901/1838
Timestep: 0-160, Program time: 0.188891 s, Sim. time: 0.08 TU, Active/Total Cells: 898/1840
Timestep: 0-162, Program time: 0.19104 s, Sim. time: 0.081 TU, Active/Total Cells: 897/1828
Timestep: 0-164, Program time: 0.192889 s, Sim. time: 0.082 TU, Active/Total Cells: 890/1827
Timestep: 0-166, Program time: 0.194523 s, Sim. time: 0.083 TU, Active/Total Cells: 887/1817
Timestep: 0-168, Program time: 0.196955 s, Sim. time: 0.084 TU, Active/Total Cells: 876/1825
Timestep: 0-170, Program time: 0.199209 s, Sim. time: 0.085 TU, Active/Total Cells: 877/1825
Timestep: 0-172, Program time: 0.201454 s, Sim. time: 0.086 TU, Active/Total Cells: 874/1831
Timestep: 0-174, Program time: 0.203515 s, Sim. time: 0.087 TU, Active/Total Cells: 881/1837
Timestep: 0-176, Program time: 0.205606 s, Sim. time: 0.088 TU, Active/Total Cells: 885/1846
Timestep: 0-178, Program time: 0.208013 s, Sim. time: 0.089 TU, Active/Total Cells: 887/1852
Timestep: 0-180, Program time: 0.210348 s, Sim. time: 0.09 TU, Active/Total Cells: 894/1849
Timestep: 0-182, Program time: 0.212207 s, Sim. time: 0.091 TU, Active/Total Cells: 884/1831
Timestep: 0-184, Program time: 0.214657 s, Sim. time: 0.092 TU, Active/Total Cells: 890/1853
Timestep: 0-186, Program time: 0.21662 s, Sim. time: 0.093 TU, Active/Total Cells: 888/1835
Timestep: 0-188, Program time: 0.218695 s, Sim. time: 0.094 TU, Active/Total Cells: 890/1845
Timestep: 0-190, Program time: 0.220876 s, Sim. time: 0.095 TU, Active/Total Cells: 882/1846
Timestep: 0-192, Program time: 0.223268 s, Sim. time: 0.096 TU, Active/Total Cells: 883/1841
Timestep: 0-194, Program time: 0.22545 s, Sim. time: 0.097 TU, Active/Total Cells: 883/1856
Timestep: 0-196, Program time: 0.227151 s, Sim. time: 0.098 TU, Active/Total Cells: 870/1842
Timestep: 0-198, Program time: 0.228865 s, Sim. time: 0.099 TU, Active/Total Cells: 871/1841
Timestep: 0-200, Program time: 0.231132 s, Sim. time: 0.1 TU, Active/Total Cells: 866/1840
Timestep: 0-202, Program time: 0.2336 s, Sim. time: 0.101 TU, Active/Total Cells: 879/1854
Timestep: 0-204, Program time: 0.235573 s, Sim. time: 0.102 TU, Active/Total Cells: 876/1835
Timestep: 0-206, Program time: 0.238026 s, Sim. time: 0.103 TU, Active/Total Cells: 887/1859
Timestep: 0-208, Program time: 0.240219 s, Sim. time: 0.104 TU, Active/Total Cells: 886/1861
Timestep: 0-210, Program time: 0.242426 s, Sim. time: 0.105 TU, Active/Total Cells: 883/1856
Timestep: 0-212, Program time: 0.244713 s, Sim. time: 0.106 TU, Active/Total Cells: 894/1870
Timestep: 0-214, Program time: 0.246358 s, Sim. time: 0.107 TU, Active/Total Cells: 884/1857
Timestep: 0-216, Program time: 0.248567 s, Sim. time: 0.108 TU, Active/Total Cells: 888/1855
Timestep: 0-218, Program time: 0.250799 s, Sim. time: 0.109 TU, Active/Total Cells: 878/1851
Timestep: 0-220, Program time: 0.252956 s, Sim. time: 0.11 TU, Active/Total Cells: 876/1858
Timestep: 0-222, Program time: 0.25517 s, Sim. time: 0.111 TU, Active/Total Cells: 875/1861
Timestep: 0-224, Program time: 0.257073 s, Sim. time: 0.112 TU, Active/Total Cells: 872/1849
Timestep: 0-226, Program time: 0.258758 s, Sim. time: 0.113 TU, Active/Total Cells: 869/1842
Timestep: 0-228, Program time: 0.260968 s, Sim. time: 0.114 TU, Active/Total Cells: 870/1839
Timestep: 0-230, Program time: 0.263451 s, Sim. time: 0.115 TU, Active/Total Cells: 886/1862
Timestep: 0-232, Program time: 0.265653 s, Sim. time: 0.116 TU, Active/Total Cells: 891/1871
Timestep: 0-234, Program time: 0.267884 s, Sim. time: 0.117 TU, Active/Total Cells: 890/1861
Timestep: 0-236, Program time: 0.269842 s, Sim. time: 0.118 TU, Active/Total Cells: 891/1864
Timestep: 0-238, Program time: 0.272097 s, Sim. time: 0.119 TU, Active/Total Cells: 887/1874
Timestep: 0-240, Program time: 0.274166 s, Sim. time: 0.12 TU, Active/Total Cells: 885/1877
Timestep: 0-242, Program time: 0.276147 s, Sim. time: 0.121 TU, Active/Total Cells: 886/1882
Timestep: 0-244, Program time: 0.27831 s, Sim. time: 0.122 TU, Active/Total Cells: 888/1877
Timestep: 0-246, Program time: 0.280189 s, Sim. time: 0.123 TU, Active/Total Cells: 889/1880
Timestep: 0-248, Program time: 0.282042 s, Sim. time: 0.124 TU, Active/Total Cells: 887/1871
Timestep: 0-250, Program time: 0.284502 s, Sim. time: 0.125 TU, Active/Total Cells: 887/1889
Timestep: 0-252, Program time: 0.286408 s, Sim. time: 0.126 TU, Active/Total Cells: 881/1875
Timestep: 0-254, Program time: 0.288506 s, Sim. time: 0.127 TU, Active/Total Cells: 884/1872
Timestep: 0-256, Program time: 0.290481 s, Sim. time: 0.128 TU, Active/Total Cells: 885/1867
Timestep: 0-258, Program time: 0.2929 s, Sim. time: 0.129 TU, Active/Total Cells: 893/1878
Timestep: 0-260, Program time: 0.294944 s, Sim. time: 0.13 TU, Active/Total Cells: 887/1865
Timestep: 0-262, Program time: 0.297296 s, Sim. time: 0.131 TU, Active/Total Cells: 890/1876
Timestep: 0-264, Program time: 0.29927 s, Sim. time: 0.132 TU, Active/Total Cells: 884/1871
Timestep: 0-266, Program time: 0.301483 s, Sim. time: 0.133 TU, Active/Total Cells: 888/1877
Timestep: 0-268, Program time: 0.303458 s, Sim. time: 0.134 TU, Active/Total Cells: 885/1869
Timestep: 0-270, Program time: 0.305536 s, Sim. time: 0.135 TU, Active/Total Cells: 891/1876
Timestep: 0-272, Program time: 0.307672 s, Sim. time: 0.136 TU, Active/Total Cells: 892/1872
Timestep: 0-274, Program time: 0.309871 s, Sim. time: 0.137 TU, Active/Total Cells: 898/1882
Timestep: 0-276, Program time: 0.311858 s, Sim. time: 0.138 TU, Active/Total Cells: 893/1882
Timestep: 0-278, Program time: 0.313726 s, Sim. time: 0.139 TU, Active/Total Cells: 888/1875
Timestep: 0-280, Program time: 0.315554 s, Sim. time: 0.14 TU, Active/Total Cells: 885/1872
Timestep: 0-282, Program time: 0.318194 s, Sim. time: 0.141 TU, Active/Total Cells: 897/1893
Timestep: 0-284, Program time: 0.320224 s, Sim. time: 0.142 TU, Active/Total Cells: 902/1892
Timestep: 0-286, Program time: 0.322404 s, Sim. time: 0.143 TU, Active/Total Cells: 897/1882
Timestep: 0-288, Program time: 0.324629 s, Sim. time: 0.144 TU, Active/Total Cells: 901/1885
Timestep: 0-290, Program time: 0.326506 s, Sim. time: 0.145 TU, Active/Total Cells: 898/1886
Timestep: 0-292, Program time: 0.328714 s, Sim. time: 0.146 TU, Active/Total Cells: 897/1893
Timestep: 0-294, Program time: 0.330538 s, Sim. time: 0.147 TU, Active/Total Cells: 895/1890
Timestep: 0-296, Program time: 0.332764 s, Sim. time: 0.148 TU, Active/Total Cells: 898/1883
Timestep: 0-298, Program time: 0.334501 s, Sim. time: 0.149 TU, Active/Total Cells: 895/1876
Timestep: 0-300, Program time: 0.336631 s, Sim. time: 0.15 TU, Active/Total Cells: 896/1879
Timestep: 0-302, Program time: 0.338751 s, Sim. time: 0.151 TU, Active/Total Cells: 894/1875
Timestep: 0-304, Program time: 0.34059 s, Sim. time: 0.152 TU, Active/Total Cells: 890/1866
Timestep: 0-306, Program time: 0.342683 s, Sim. time: 0.153 TU, Active/Total Cells: 901/1878
Timestep: 0-308, Program time: 0.344855 s, Sim. time: 0.154 TU, Active/Total Cells: 894/1872
Timestep: 0-310, Program time: 0.346893 s, Sim. time: 0.155 TU, Active/Total Cells: 896/1879
Timestep: 0-312, Program time: 0.349354 s, Sim. time: 0.156 TU, Active/Total Cells: 905/1891
Timestep: 0-314, Program time: 0.351598 s, Sim. time: 0.157 TU, Active/Total Cells: 906/1895
Timestep: 0-316, Program time: 0.353625 s, Sim. time: 0.158 TU, Active/Total Cells: 901/1882
Timestep: 0-318, Program time: 0.355608 s, Sim. time: 0.159 TU, Active/Total Cells: 905/1888
Timestep: 0-320, Program time: 0.357276 s, Sim. time: 0.16 TU, Active/Total Cells: 899/1879
Timestep: 0-322, Program time: 0.359607 s, Sim. time: 0.161 TU, Active/Total Cells: 903/1894
Timestep: 0-324, Program time: 0.361588 s, Sim. time: 0.162 TU, Active/Total Cells: 902/1884
Timestep: 0-326, Program time: 0.363343 s, Sim. time: 0.163 TU, Active/Total Cells: 901/1884
Timestep: 0-328, Program time: 0.365503 s, Sim. time: 0.164 TU, Active/Total Cells: 897/1880
Timestep: 0-330, Program time: 0.367415 s, Sim. time: 0.165 TU, Active/Total Cells: 901/1879
Timestep: 0-332, Program time: 0.369119 s, Sim. time: 0.166 TU, Active/Total Cells: 901/1862
Timestep: 0-334, Program time: 0.370961 s, Sim. time: 0.167 TU, Active/Total Cells: 893/1847
Timestep: 0-336, Program time: 0.373078 s, Sim. time: 0.168 TU, Active/Total Cells: 902/1860
Timestep: 0-338, Program time: 0.375211 s, Sim. time: 0.169 TU, Active/Total Cells: 901/1864
Timestep: 0-340, Program time: 0.377151 s, Sim. time: 0.17 TU, Active/Total Cells: 899/1868
Timestep: 0-342, Program time: 0.378947 s, Sim. time: 0.171 TU, Active/Total Cells: 905/1869
Timestep: 0-344, Program time: 0.380772 s, Sim. time: 0.172 TU, Active/Total Cells: 899/1858
Timestep: 0-346, Program time: 0.38242 s, Sim. time: 0.173 TU, Active/Total Cells: 883/1844
Timestep: 0-348, Program time: 0.384377 s, Sim. time: 0.174 TU, Active/Total Cells: 886/1837
Timestep: 0-350, Program time: 0.386246 s, Sim. time: 0.175 TU, Active/Total Cells: 889/1840
Timestep: 0-352, Program time: 0.388267 s, Sim. time: 0.176 TU, Active/Total Cells: 898/1851
Timestep: 0-354, Program time: 0.390226 s, Sim. time: 0.177 TU, Active/Total Cells: 895/1844
Timestep: 0-356, Program time: 0.392228 s, Sim. time: 0.178 TU, Active/Total Cells: 901/1852
Timestep: 0-358, Program time: 0.393995 s, Sim. time: 0.179 TU, Active/Total Cells: 903/1849
Timestep: 0-360, Program time: 0.39618 s, Sim. time: 0.18 TU, Active/Total Cells: 901/1853
Timestep: 0-362, Program time: 0.397935 s, Sim. time: 0.181 TU, Active/Total Cells: 899/1839
Timestep: 0-364, Program time: 0.39981 s, Sim. time: 0.182 TU, Active/Total Cells: 897/1838
Timestep: 0-366, Program time: 0.401607 s, Sim. time: 0.183 TU, Active/Total Cells: 898/1834
Timestep: 0-368, Program time: 0.403421 s, Sim. time: 0.184 TU, Active/Total Cells: 891/1829
Timestep: 0-370, Program time: 0.404953 s, Sim. time: 0.185 TU, Active/Total Cells: 886/1808
Timestep: 0-372, Program time: 0.406991 s, Sim. time: 0.186 TU, Active/Total Cells: 892/1828
Timestep: 0-374, Program time: 0.408844 s, Sim. time: 0.187 TU, Active/Total Cells: 886/1814
Timestep: 0-376, Program time: 0.410849 s, Sim. time: 0.188 TU, Active/Total Cells: 890/1819
Timestep: 0-378, Program time: 0.412775 s, Sim. time: 0.189 TU, Active/Total Cells: 893/1819
Timestep: 0-380, Program time: 0.414712 s, Sim. time: 0.19 TU, Active/Total Cells: 899/1813
Timestep: 0-382, Program time: 0.416591 s, Sim. time: 0.191 TU, Active/Total Cells: 902/1825
Timestep: 0-384, Program time: 0.41849 s, Sim. time: 0.192 TU, Active/Total Cells: 899/1820
Timestep: 0-386, Program time: 0.420316 s, Sim. time: 0.193 TU, Active/Total Cells: 897/1816
Timestep: 0-388, Program time: 0.422104 s, Sim. time: 0.194 TU, Active/Total Cells: 905/1820
Timestep: 0-390, Program time: 0.423761 s, Sim. time: 0.195 TU, Active/Total Cells: 896/1807
Timestep: 0-392, Program time: 0.425692 s, Sim. time: 0.196 TU, Active/Total Cells: 888/1805
Timestep: 0-394, Program time: 0.427624 s, Sim. time: 0.197 TU, Active/Total Cells: 883/1801
Timestep: 0-396, Program time: 0.42928 s, Sim. time: 0.198 TU, Active/Total Cells: 884/1801
Timestep: 0-398, Program time: 0.430918 s, Sim. time: 0.199 TU, Active/Total Cells: 883/1794
Timestep: 0-400, Program time: 0.432656 s, Sim. time: 0.2 TU, Active/Total Cells: 876/1789
Timestep: 0-402, Program time: 0.436458 s, Sim. time: 0.201 TU, Active/Total Cells: 881/1797
Timestep: 0-404, Program time: 0.438593 s, Sim. time: 0.202 TU, Active/Total Cells: 890/1796
Timestep: 0-406, Program time: 0.4403 s, Sim. time: 0.203 TU, Active/Total Cells: 892/1797
Timestep: 0-408, Program time: 0.442144 s, Sim. time: 0.204 TU, Active/Total Cells: 891/1794
Timestep: 0-410, Program time: 0.443855 s, Sim. time: 0.205 TU, Active/Total Cells: 892/1790
Timestep: 0-412, Program time: 0.445472 s, Sim. time: 0.206 TU, Active/Total Cells: 891/1786
Timestep: 0-414, Program time: 0.447405 s, Sim. time: 0.207 TU, Active/Total Cells: 887/1783
Timestep: 0-416, Program time: 0.449064 s, Sim. time: 0.208 TU, Active/Total Cells: 886/1779
Timestep: 0-418, Program time: 0.450886 s, Sim. time: 0.209 TU, Active/Total Cells: 889/1785
Timestep: 0-420, Program time: 0.452798 s, Sim. time: 0.21 TU, Active/Total Cells: 888/1793
Timestep: 0-422, Program time: 0.454734 s, Sim. time: 0.211 TU, Active/Total Cells: 886/1789
Timestep: 0-424, Program time: 0.456448 s, Sim. time: 0.212 TU, Active/Total Cells: 871/1773
Timestep: 0-426, Program time: 0.458478 s, Sim. time: 0.213 TU, Active/Total Cells: 880/1784
Timestep: 0-428, Program time: 0.459928 s, Sim. time: 0.214 TU, Active/Total Cells: 880/1782
Timestep: 0-430, Program time: 0.4618 s, Sim. time: 0.215 TU, Active/Total Cells: 889/1793
Timestep: 0-432, Program time: 0.463562 s, Sim. time: 0.216 TU, Active/Total Cells: 892/1802
Timestep: 0-434, Program time: 0.465547 s, Sim. time: 0.217 TU, Active/Total Cells: 889/1791
Timestep: 0-436, Program time: 0.467188 s, Sim. time: 0.218 TU, Active/Total Cells: 887/1771
Timestep: 0-438, Program time: 0.468762 s, Sim. time: 0.219 TU, Active/Total Cells: 884/1775
Timestep: 0-440, Program time: 0.470351 s, Sim. time: 0.22 TU, Active/Total Cells: 879/1768
Timestep: 0-442, Program time: 0.471978 s, Sim. time: 0.221 TU, Active/Total Cells: 872/1767
Timestep: 0-444, Program time: 0.473543 s, Sim. time: 0.222 TU, Active/Total Cells: 874/1759
Timestep: 0-446, Program time: 0.475322 s, Sim. time: 0.223 TU, Active/Total Cells: 873/1763
Timestep: 0-448, Program time: 0.477087 s, Sim. time: 0.224 TU, Active/Total Cells: 871/1769
Timestep: 0-450, Program time: 0.479218 s, Sim. time: 0.225 TU, Active/Total Cells: 886/1790
Timestep: 0-452, Program time: 0.480881 s, Sim. time: 0.226 TU, Active/Total Cells: 886/1792
Timestep: 0-454, Program time: 0.482436 s, Sim. time: 0.227 TU, Active/Total Cells: 878/1774
Timestep: 0-456, Program time: 0.484009 s, Sim. time: 0.228 TU, Active/Total Cells: 869/1762
Timestep: 0-458, Program time: 0.485687 s, Sim. time: 0.229 TU, Active/Total Cells: 869/1767
Timestep: 0-460, Program time: 0.487237 s, Sim. time: 0.23 TU, Active/Total Cells: 869/1766
Timestep: 0-462, Program time: 0.488851 s, Sim. time: 0.231 TU, Active/Total Cells: 873/1775
Timestep: 0-464, Program time: 0.490873 s, Sim. time: 0.232 TU, Active/Total Cells: 883/1781
Timestep: 0-466, Program time: 0.492629 s, Sim. time: 0.233 TU, Active/Total Cells: 875/1771
Timestep: 0-468, Program time: 0.494068 s, Sim. time: 0.234 TU, Active/Total Cells: 868/1750
Timestep: 0-470, Program time: 0.496057 s, Sim. time: 0.235 TU, Active/Total Cells: 868/1761
Timestep: 0-472, Program time: 0.49768 s, Sim. time: 0.236 TU, Active/Total Cells: 863/1751
Timestep: 0-474, Program time: 0.499712 s, Sim. time: 0.237 TU, Active/Total Cells: 863/1762
Timestep: 0-476, Program time: 0.501448 s, Sim. time: 0.238 TU, Active/Total Cells: 873/1774
Timestep: 0-478, Program time: 0.503123 s, Sim. time: 0.239 TU, Active/Total Cells: 869/1768
Timestep: 0-480, Program time: 0.504594 s, Sim. time: 0.24 TU, Active/Total Cells: 866/1762
Timestep: 0-482, Program time: 0.506373 s, Sim. time: 0.241 TU, Active/Total Cells: 875/1756
Timestep: 0-484, Program time: 0.508019 s, Sim. time: 0.242 TU, Active/Total Cells: 874/1756
Timestep: 0-486, Program time: 0.509738 s, Sim. time: 0.243 TU, Active/Total Cells: 875/1762
Timestep: 0-488, Program time: 0.51133 s, Sim. time: 0.244 TU, Active/Total Cells: 873/1764
Timestep: 0-490, Program time: 0.512655 s, Sim. time: 0.245 TU, Active/Total Cells: 857/1749
Timestep: 0-492, Program time: 0.513855 s, Sim. time: 0.246 TU, Active/Total Cells: 851/1734
Timestep: 0-494, Program time: 0.515562 s, Sim. time: 0.247 TU, Active/Total Cells: 848/1738
Timestep: 0-496, Program time: 0.517184 s, Sim. time: 0.248 TU, Active/Total Cells: 849/1741
Timestep: 0-498, Program time: 0.518548 s, Sim. time: 0.249 TU, Active/Total Cells: 848/1736
Timestep: 0-500, Program time: 0.520496 s, Sim. time: 0.25 TU, Active/Total Cells: 851/1739
Timestep: 0-502, Program time: 0.522111 s, Sim. time: 0.251 TU, Active/Total Cells: 848/1738
Timestep: 0-504, Program time: 0.523704 s, Sim. time: 0.252 TU, Active/Total Cells: 856/1748
Timestep: 0-506, Program time: 0.525464 s, Sim. time: 0.253 TU, Active/Total Cells: 854/1756
Timestep: 0-508, Program time: 0.527263 s, Sim. time: 0.254 TU, Active/Total Cells: 857/1757
Timestep: 0-510, Program time: 0.528802 s, Sim. time: 0.255 TU, Active/Total Cells: 856/1752
Timestep: 0-512, Program time: 0.530324 s, Sim. time: 0.256 TU, Active/Total Cells: 854/1745
Timestep: 0-514, Program time: 0.532228 s, Sim. time: 0.257 TU, Active/Total Cells: 856/1744
Timestep: 0-516, Program time: 0.533835 s, Sim. time: 0.258 TU, Active/Total Cells: 853/1742
Timestep: 0-518, Program time: 0.535523 s, Sim. time: 0.259 TU, Active/Total Cells: 857/1742
Timestep: 0-520, Program time: 0.536833 s, Sim. time: 0.26 TU, Active/Total Cells: 853/1740
Timestep: 0-522, Program time: 0.538318 s, Sim. time: 0.261 TU, Active/Total Cells: 848/1732
Timestep: 0-524, Program time: 0.540159 s, Sim. time: 0.262 TU, Active/Total Cells: 842/1738
Timestep: 0-526, Program time: 0.541702 s, Sim. time: 0.263 TU, Active/Total Cells: 846/1741
Timestep: 0-528, Program time: 0.543163 s, Sim. time: 0.264 TU, Active/Total Cells: 847/1743
Timestep: 0-530, Program time: 0.544775 s, Sim. time: 0.265 TU, Active/Total Cells: 842/1736
Timestep: 0-532, Program time: 0.546406 s, Sim. time: 0.266 TU, Active/Total Cells: 838/1733
Timestep: 0-534, Program time: 0.547733 s, Sim. time: 0.267 TU, Active/Total Cells: 835/1732
Timestep: 0-536, Program time: 0.549297 s, Sim. time: 0.268 TU, Active/Total Cells: 829/1726
Timestep: 0-538, Program time: 0.550794 s, Sim. time: 0.269 TU, Active/Total Cells: 828/1729
Timestep: 0-540, Program time: 0.552629 s, Sim. time: 0.27 TU, Active/Total Cells: 832/1730
Timestep: 0-542, Program time: 0.553832 s, Sim. time: 0.271 TU, Active/Total Cells: 825/1716
